net,test case,ground truth,your output,your runtime,your point
conv_2,img9_mnist_0.1668.txt,verified,verified,2.989,1
conv_3,img0_cifar10_0.0016.txt,not verified,timeout (not verified),60,0
conv_3,img1_cifar10_0.0085.txt,not verified,timeout (not verified),60,0
conv_3,img2_cifar10_0.0153.txt,not verified,timeout (not verified),60,0
conv_3,img3_cifar10_0.0221.txt,not verified,timeout (not verified),60,0
conv_3,img4_cifar10_0.0133.txt,verified,verified,3.425,1
conv_3,img5_cifar10_0.0151.txt,verified,verified,4.947,1
conv_3,img6_cifar10_0.0133.txt,verified,verified,4.815,1
conv_3,img7_cifar10_0.0124.txt,verified,verified,6.243,1
conv_3,img8_cifar10_0.0235.txt,verified,verified,14.322,1
conv_3,img9_cifar10_0.0127.txt,verified,verified,11.529,1
conv_4,img0_mnist_0.0694.txt,not verified,timeout (not verified),60,0
conv_4,img1_mnist_0.1851.txt,not verified,timeout (not verified),60,0
conv_4,img2_mnist_0.2236.txt,not verified,timeout (not verified),60,0
conv_4,img3_mnist_0.1712.txt,verified,verified,2.47,1
conv_4,img4_mnist_0.1697.txt,verified,verified,2.873,1
conv_4,img5_mnist_0.1483.txt,verified,verified,2.453,1
conv_4,img6_mnist_0.1245.txt,verified,verified,2.892,1
conv_4,img7_mnist_0.1962.txt,verified,verified,3.111,1
conv_4,img8_mnist_0.2113.txt,verified,verified,24.519,1
conv_4,img9_mnist_0.2101.txt,verified,verified,19.063,1
fc_8,img0_mnist_0.0511.txt,not verified,timeout (not verified),60,0
fc_8,img1_mnist_0.1967.txt,not verified,timeout (not verified),60,0
fc_8,img2_mnist_0.0724.txt,verified,verified,1.236,1
fc_8,img3_mnist_0.0532.txt,verified,verified,1.177,1
fc_8,img4_mnist_0.1163.txt,verified,verified,1.398,1
conv_5,img0_cifar10_0.0097.txt,not verified,timeout (not verified),60,0
conv_5,img1_cifar10_0.0219.txt,not verified,timeout (not verified),60,0
conv_5,img2_cifar10_0.0090.txt,verified,verified,3.421,1
conv_5,img3_cifar10_0.0146.txt,verified,verified,6.345,1
conv_5,img4_cifar10_0.0111.txt,verified,verified,8.916,1

total points: 92
